Pressure,Control Sensor 1,Control Sensor 2,Control Sensor 3,,Standard Deviation Control Sensor,,Coaxial Sensor 1,Coaxial Sensor 2,Coaxial Sensor 3,,,Coaxial Sensor 1,Coaxial Sensor 2,Coaxial Sensor 3,,
kPa,kPa\+(-1),kPa\+(-1),kPa\+(-1),,,,kPa\+(-1),kPa\+(-1),kPa\+(-1),,,kPa\+(-1),kPa\+(-1),kPa\+(-1),,
,Sensitivity,Sensitivity,Sensitivity,Mean,,,Sensitivity,Sensitivity,Sensitivity,Coaxial_HEX1,Coaxial_HEX5,HEX7,HEX8,HEX9,Mean,Standard Deviation Coaxial
0.2,0.296340782,0.162684588,0.142954416,0.200659929,0.083447224,,0.352464183,0.77654386,1.491935484,0.301123318,0.371101329,0.269307393,0.243364662,0.285201465,0.26595784,0.02658627
0.25,0.263334078,0.166004301,0.164538927,0.197959102,0.056621131,,0.342140974,0.784987135,1.516129032,0.356593722,0.398106312,0.362711284,0.372956391,0.284849817,0.340172497,0.055794983
0.3,0.244364991,0.18744325,0.15844863,0.19675229,0.043708111,,0.3122617,0.782623782,1.370967742,0.406041854,0.410750831,0.402651102,0.384300752,0.350114774,0.379022209,0.031686077
0.35,0.211134876,0.176161802,0.180624693,0.189307124,0.019034638,,0.368211216,0.769276525,1.290322581,0.423238949,0.408889416,0.452920511,0.443241676,0.406767138,0.434309775,0.028380218
0.4,0.178958101,0.139050179,0.185066736,0.167691672,0.024991602,,0.363746418,0.757195906,1.209677419,0.424325112,0.417328904,0.488550584,0.491945489,0.496798535,0.492431536,0.004983309
0.45,0.18131347,0.190593389,0.185680108,0.185862322,0.004642642,,0.385283668,0.778292398,1.164874552,0.442068759,0.414341824,0.510196282,0.539413534,0.518538055,0.522715957,0.021077921
0.5,0.173794413,0.191015054,0.19057889,0.185129452,0.009818854,,0.42317937,0.822378947,1.161290323,0.462186547,0.420689037,0.509919066,0.51177594,0.480347253,0.500680753,0.020375849
0.55,0.165988827,0.177493646,0.198459674,0.180647382,0.016463551,,0.42269341,0.513567477,1.129032258,0.469752956,0.412911507,0.514494517,0.525615858,0.505411921,0.515174099,0.012535638
0.6,0.173711359,0.185574671,0.203369909,0.18755198,0.014927816,,0.4412617,0.491876198,1.129032258,0.491077728,0.404487265,0.515276265,0.531904762,0.523650794,0.523610607,0.011758192
